"Book_ID","Price"
2826479,6.00
5789790,7.50
5789908,7.50
5789909,7.50
7838748,10.00
8012255,24.00
8139693,45.00
8150199,500.00
8150205,937.50
8915760,17.00
9422999,8.00
10374155,20.00
11033829,10.00
11184767,12.00
11941360,9.00
13230268,6.00
13230271,12.50
16303999,25.00
17722731,15.00
17722732,15.00
18232751,468.75
18455449,10.00
18968066,7.50
19505856,10.00
19559446,12.50
20313393,5.00
21419752,15.00
21726951,6.00
22501613,1.50
23347917,15.00
24246484,16.50
25402700,14.00
25845949,17.50
25847721,22.50
27059037,21.00
29114167,7.50
29391816,5.00
29942480,22.00
29948319,7.50
30921062,3.00
32283616,3.00
32484944,4.00
32484945,6.00
35134460,25.00
35291455,0.00
40813675,3.00
42478705,8.00
46718605,3.00
49405394,12.50
49405476,5.00
49405477,4.50
49589213,6.00
50349898,4.25
51727652,7.50
52767188,2.75
52958569,4.00
53288257,12.00
54347660,6.00
57341513,20.00
57369327,3.95
57960667,15.00
58083459,3.00
59118317,8.00
59323711,3.50
59774732,15.00
59868080,3.83
59876390,15.00
60871419,8.00
60883878,22.00
61312364,4.00
62351857,8.00
62351863,8.00
62486293,8.00
63847237,10.00
64344236,15.00
65620710,12.50
65621722,12.50
65673800,7.00
65853181,6.00
66711815,25.00
69200906,7.50
69711061,3.00
70485757,7.00
71652978,7.50
71936075,14.00
71946373,14.00
71946375,14.00
71951675,14.00
71954541,14.00
71991916,6.50
72195263,11.00
72217938,13.50
72585199,20.00
73525339,8.00
74267172,10.00
74583242,173.23
75161672,7.00
75326809,15.00
76645772,4.56
76653778,5.89
76653798,5.89
76653800,5.89
76653804,5.89
76738359,9.00
77404867,6.00
80167542,8.00
80381323,14.50
80432926,7.00
80650208,3.00
81001641,6.00
81080618,10.00
81084402,9.00
81958212,30.00
83207534,5.00
83553429,5.00
83694333,18.00
83937837,25.00
86167820,5.00
86460727,6.00
88124996,20.00
88289157,20.00
88327549,5.00
88327553,5.00
88327561,3.00
92560776,5.00
93651659,8.00
93651687,8.00
93782038,20.00
94519855,6.00
94519859,6.00
94519861,6.00
94682126,9.00
94990121,8.00
95933827,6.00
95982329,6.00
96377151,8.00
96613293,8.63
96728543,11.97
96728547,11.97
97143634,4.15
98016620,11.25
98082467,5.00
98082475,7.50
98716627,6.00
99434603,4.00
99706731,15.00
104346672,10.00
104810526,16.00
104990066,3.00
105112880,12.00
107350406,14.00
108755552,1.99
114761838,15.33
118080872,24.19
118335126,5.00
119929444,9.17
119956640,3.75
121220168,4.00
122559422,10.14
125079360,17.50
126034900,15.00
126617262,9.17
127092684,15.00
129127630,10.00
132132764,45.00
132528312,3.00
133460406,50.00
137943804,10.00
140933246,7.00
145641248,10.00
149786114,25.00
152665796,30.00
153158340,14.00
153620084,10.00
155172594,9.95
155972280,34.51
155975488,18.66
155975492,19.99
157218794,15.00
157948480,193.00
161605164,126.25
162989878,15.00
164668252,3.50
167542746,3.60
167931972,12.00
168057808,20.00
168392700,4.50
172778114,10.00
174123078,16.50
178644568,2.00
179316482,10.00
181882894,1.50
184291816,20.00
184854492,2.00
186032294,5.50
186741428,2.67
186741430,2.67
188965348,3.00
189472654,2.00
196947339,4.00
196981282,30.00
197729822,29.95
198023592,3.16
198587381,5.00
200489648,10.14
200669937,20.50
200670575,20.00
202545686,6.40
202569880,95.00
203139294,15.93
203652682,10.33
203987274,232.19
204769205,1.99
204909201,67.58
205518404,12.50
206516948,12.00
206691317,3.00
206835290,15.00
207138180,30.00
207666135,7.00
208647507,54.00
210090564,10.00
210616762,386.98
214566439,10.00
215104607,25.00
216354280,10.50
219241498,6.00
219907698,25.00
224140372,3.98
224408800,11.39
224743286,6.00
225137188,22.50
226751724,8.00
226751730,8.00
228467616,20.00
230905570,22.00
231229984,22.00
241899954,6.00
242855190,1.50
242855194,1.50
246952112,6.25
247498168,2.00
248100776,7.50
248222574,2.99
248689686,9.00
249091258,22.00
252703162,3.00
254659082,5.00
255080720,9.17
256397212,7.50
258213710,15.00
259393306,5.00
259427130,6.00
261681624,75.00
263925654,11.50
